name,age,birthplace,headshot
Jim Gaffigan,52,"Chesterton, Indiana","https://m.media-amazon.com/images/M/MV5BZTVhOGIwMWEtNmQxOC00NjRhLWJlYTYtNzdmZGIyODE2MjliXkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_UY317_CR21,0,214,317_AL_.jpg"
Gabriel Iglesias,42,"San Diego, California","https://m.media-amazon.com/images/M/MV5BMjMyNzk4NTQ4Ml5BMl5BanBnXkFtZTgwMTA1OTEwNjE@._V1_UX214_CR0,0,214,317_AL_.jpg"
Ellen DeGeneres,61,"Metairie, Louisiana","https://m.media-amazon.com/images/M/MV5BNDAwMzAyNDEzMV5BMl5BanBnXkFtZTcwMDU3MTAxMw@@._V1_UY317_CR12,0,214,317_AL_.jpg"
Dane Cook,46,"Boston, Massachusetts","https://m.media-amazon.com/images/M/MV5BMTMyOTQ2MzUxNF5BMl5BanBnXkFtZTcwMjYyMjYwNw@@._V1_UX214_CR0,0,214,317_AL_.jpg"
Anjelah Johnson-Reyes,36,"San Jose, California","https://m.media-amazon.com/images/M/MV5BMTI4MjI3OTYyNF5BMl5BanBnXkFtZTcwMTQzODMyMw@@._V1_UX214_CR0,0,214,317_AL_.jpg"
Kevin Hart,39,"Philadelphia, Pennsylvania","https://m.media-amazon.com/images/M/MV5BMTY4OTAxMjkxN15BMl5BanBnXkFtZTgwODg5MzYyMTE@._V1_UX214_CR0,0,214,317_AL_.jpg"
Robin Williams,63,"Tiburon, California","https://m.media-amazon.com/images/M/MV5BNTYzMjc2Mjg4MF5BMl5BanBnXkFtZTcwODc1OTQwNw@@._V1_UX214_CR0,0,214,317_AL_.jpg"
Bo Burnam,28,"Hamilton, Massachusetts","https://m.media-amazon.com/images/M/MV5BMzFjZDZjODItZmIyOC00ZWIzLTljMTktYzU5NzJkOGJjYWE3XkEyXkFqcGdeQXVyMTk3NzExNDQ@._V1_UY317_CR17,0,214,317_AL_.jpg"
Demitri Martin,45,"New York City, New York","https://m.media-amazon.com/images/M/MV5BMjA3Nzg5MzM2Nl5BMl5BanBnXkFtZTcwODYzOTAzMg@@._V1_UY317_CR20,0,214,317_AL_.jpg"
Daniel Tosh,43,"Bopard, Germany","https://m.media-amazon.com/images/M/MV5BMTc2NzQ0MDAwMV5BMl5BanBnXkFtZTcwMzMxNzg1NA@@._V1_UY317_CR11,0,214,317_AL_.jpg"
Eddie Murphy,57,"New York City, New York","https://m.media-amazon.com/images/M/MV5BMTc0NDQzODAwNF5BMl5BanBnXkFtZTYwMzUzNTk3._V1_UY317_CR6,0,214,317_AL_.jpg"
Louis C.K.,51,"Washington, District of Columbia","https://m.media-amazon.com/images/M/MV5BMTM4OTkwNzg3NF5BMl5BanBnXkFtZTcwMjc5NjcyNw@@._V1_UX214_CR0,0,214,317_AL_.jpg"
