name,runtime,comedian_id,thumbnail
"Beyond the Pale",72,1,"https://m.media-amazon.com/images/M/MV5BMTk3NjU2ODY5NF5BMl5BanBnXkFtZTgwNTEyODkwMzE@._V1_UY209_CR4,0,140,209_AL_.jpg"
"King Baby",60,1,"https://m.media-amazon.com/images/M/MV5BMjI3ODgwMDU2NF5BMl5BanBnXkFtZTgwMTczMzA2MDE@._V1_UY209_CR8,0,140,209_AL_.jpg"
"Obsessed",60,1,"https://m.media-amazon.com/images/M/MV5BMjA1MDc3NzkyNl5BMl5BanBnXkFtZTgwNDYzNjM3MTE@._V1_UY209_CR8,0,140,209_AL_.jpg"
"Cinco",73,1,"https://m.media-amazon.com/images/M/MV5BYzM5N2YyODQtZTkyMC00ZGVhLWJmZmYtZTI3ZGM2ODAzMzA1L2ltYWdlXkEyXkFqcGdeQXVyMzcwMjcwNQ@@._V1_UX140_CR0,0,140,209_AL_.jpg"
"Hot and Fluffy",60,2,"https://m.media-amazon.com/images/M/MV5BMjEwNjc5OTIwNV5BMl5BanBnXkFtZTcwNzE3OTQ4Mw@@._V1_UY209_CR3,0,140,209_AL_.jpg"
"I'm Not Fat, I'm Fluffy",60,2,"https://m.media-amazon.com/images/M/MV5BNjM3OTk3MDUtOWJlNi00ZWJmLWJkYjMtMzcwZTFiNGRmM2U2XkEyXkFqcGdeQXVyMTk3NDAwMzI@._V1_UY209_CR3,0,140,209_AL_.jpg"
"I'm Sorry for What I Said When I Was Hungry",60,2,"https://m.media-amazon.com/images/M/MV5BYjI3MGQyOWEtYzlmOC00OTYxLWIwNmItNTk3NDhiODRmNTc0L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMzk2MTI0NzY@._V1_UY209_CR4,0,140,209_AL_.jpg"
"The Beginning",66,3,"https://m.media-amazon.com/images/M/MV5BODQxNzQzMDc4Nl5BMl5BanBnXkFtZTgwMTgwNjgwMzE@._V1_UY209_CR8,0,140,209_AL_.jpg"
"Here and Now",60,3,"https://m.media-amazon.com/images/M/MV5BMTgyNzgxMDA5MF5BMl5BanBnXkFtZTcwMTI1NTQyMQ@@._V1_UY209_CR11,0,140,209_AL_.jpg"
"Relatable",68,3,"https://m.media-amazon.com/images/M/MV5BYTlmYzI2NTMtYmZmOS00ZTYzLTg2ZTUtZDhkZjhkZDVjMWQwXkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_UY209_CR0,0,140,209_AL_.jpg"
"Vicious Circle",90,4,"https://m.media-amazon.com/images/M/MV5BMTgwNDkzNTk4MF5BMl5BanBnXkFtZTcwMzQ3NjgzMQ@@._V1_UY209_CR0,0,140,209_AL_.jpg"
"Isolated Incident",55,4,"https://m.media-amazon.com/images/M/MV5BODE3OTM2OTg2MV5BMl5BanBnXkFtZTgwOTM0MzA2MDE@._V1_UX140_CR0,0,140,209_AL_.jpg"
"Troublemaker",78,4,"https://m.media-amazon.com/images/M/MV5BOWQ0ODg4OWMtOWQ3MS00MjJjLWJiMTItMzVkMzgxNzg0OTlmXkEyXkFqcGdeQXVyMTgwOTE5NDk@._V1_UY209_CR7,0,140,209_AL_.jpg"
"That's How We Do It",75,5,"https://m.media-amazon.com/images/M/MV5BMTExMjY0NTA2NzdeQTJeQWpwZ15BbWU4MDA3MDIxMjYx._V1_UX140_CR0,0,140,209_AL_.jpg"
"Mahalo & Good Night",58,5,"https://m.media-amazon.com/images/M/MV5BMmU5ZTAzODMtMDAyNi00YjEyLThhOGQtNDE1OThlZTc1OGUwXkEyXkFqcGdeQXVyMzcwMjcwNQ@@._V1_UX140_CR0,0,140,209_AL_.jpg"
"Not Fancy",90,5,"https://m.media-amazon.com/images/M/MV5BODVkNDE4ZTQtNTcyMS00OTI4LWI4NjMtYmI2ZjVlNGMxZTNjXkEyXkFqcGdeQXVyMTQxMzY0ODY@._V1_UY209_CR4,0,140,209_AL_.jpg"
"I'm a Grown Little Man",73,6,"https://m.media-amazon.com/images/M/MV5BMjI4MTYwNTUzMF5BMl5BanBnXkFtZTcwODk1Mjk3Mw@@._V1_UY209_CR4,0,140,209_AL_.jpg"
"Seriously Funny",72,6,"https://m.media-amazon.com/images/M/MV5BMTcxNTI2OTA4Ml5BMl5BanBnXkFtZTcwMDA1MjE5NA@@._V1_UY209_CR4,0,140,209_AL_.jpg"
"An Evening with Robin Williams",60,7,"https://m.media-amazon.com/images/M/MV5BMTU3MjczMzQxNF5BMl5BanBnXkFtZTcwODIwOTkyMQ@@._V1_UX140_CR0,0,140,209_AL_.jpg"
"An Evening at the Met",65,7,"https://m.media-amazon.com/images/M/MV5BYzM0Zjc0OWItYWI1MC00NjQwLWE4YTktYWY1MDQyYjM3NjRkXkEyXkFqcGdeQXVyMTQ4NDY5OTc@._V1_UX140_CR0,0,140,209_AL_.jpg"
"Live on Broadway",99,7,"https://m.media-amazon.com/images/M/MV5BMTc1MTQ4NjcyOF5BMl5BanBnXkFtZTcwODIyNzIyMQ@@._V1_UY209_CR4,0,140,209_AL_.jpg"
"Weapons of Self Destruction",90,7,"https://m.media-amazon.com/images/M/MV5BMTc2NTg2OTQ0OV5BMl5BanBnXkFtZTcwNTcyNjgxMw@@._V1_UY209_CR4,0,140,209_AL_.jpg"
"Words, Words, Words",63,8,"https://m.media-amazon.com/images/M/MV5BNzM3MmE1MjItNjhmNy00NmU1LTgyOTctNjNmYTgzYmEwODMwXkEyXkFqcGdeQXVyODU3NzEzOTk@._V1_UY209_CR5,0,140,209_AL_.jpg"
"what.",60,8,"https://m.media-amazon.com/images/M/MV5BZWI1YmY1YjctNTU3MS00MDFhLTkzNjUtMDgyYTEwYTkxZWJhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY209_CR4,0,140,209_AL_.jpg"
"Make Happy",60,8,"https://m.media-amazon.com/images/M/MV5BZjg0YmNiZTAtZDI2Yi00MTVhLTk3ZTctM2JiNjQwY2ZhMzg4XkEyXkFqcGdeQXVyMzE1NjI3MjI@._V1_UY209_CR0,0,140,209_AL_.jpg"
"Person",42,9,"https://m.media-amazon.com/images/M/MV5BMjE0MDgwNDE0MF5BMl5BanBnXkFtZTcwMDAzMDQ1MQ@@._V1_UY209_CR4,0,140,209_AL_.jpg"
"Standup Comedian",60,9,"https://m.media-amazon.com/images/M/MV5BNDU5MDc3MzkwNl5BMl5BanBnXkFtZTgwNzU2ODU4NjE@._V1_UY209_CR8,0,140,209_AL_.jpg"
"Live (At the Time)",61,9,"https://m.media-amazon.com/images/M/MV5BNjQ4NTQ2NzE1N15BMl5BanBnXkFtZTgwODc4ODA3NjE@._V1_UY209_CR0,0,140,209_AL_.jpg"
"The Overthinker",60,9,"https://m.media-amazon.com/images/M/MV5BMGU1N2Q1ZGUtYWY3OC00M2Q5LWIyNGMtMjA3ZDcxMmY2N2M2XkEyXkFqcGdeQXVyMjQzOTM1NTc@._V1_UY209_CR4,0,140,209_AL_.jpg"
"Completely Serious",60,10,"https://m.media-amazon.com/images/M/MV5BMTk0NDU0NjAyOF5BMl5BanBnXkFtZTgwMzU2NjcwMzE@._V1_UY209_CR3,0,140,209_AL_.jpg"
"Happy Thoughts",60,10,"https://m.media-amazon.com/images/M/MV5BMjAwODYwMjU3OV5BMl5BanBnXkFtZTgwNzkyOTcwMzE@._V1_UY209_CR8,0,140,209_AL_.jpg"
"People Pleaser",62,10,"https://m.media-amazon.com/images/M/MV5BMTAxOTk4NDk3MzheQTJeQWpwZ15BbWU4MDk5Mjg1Nzgx._V1_UY209_CR8,0,140,209_AL_.jpg"
"Delirious",69,11,"https://m.media-amazon.com/images/M/MV5BMTQ5MDcyODU0Nl5BMl5BanBnXkFtZTcwMTgxNjA0MQ@@._V1_UY209_CR4,0,140,209_AL_.jpg"
"Chewed Up",61,12,"https://m.media-amazon.com/images/M/MV5BMTU0NjA0ODk1Ml5BMl5BanBnXkFtZTcwNTU4OTAwMg@@._V1_UY209_CR5,0,140,209_AL_.jpg"
"Shameless",56,12,"https://m.media-amazon.com/images/M/MV5BMjE4NjE1ODI5Ml5BMl5BanBnXkFtZTcwMTgxNjc0MQ@@._V1_UY209_CR4,0,140,209_AL_.jpg"
"Oh My God",58,12,"https://m.media-amazon.com/images/M/MV5BMjQ4NjQwOTYzNl5BMl5BanBnXkFtZTcwNjU2NjczOQ@@._V1_UY209_CR35,0,140,209_AL_.jpg"
"Live at the Comedy Store",66,12,"https://m.media-amazon.com/images/M/MV5BODJlMmIyNjEtZDQ0ZS00MGIyLWEyZmYtOTQyYTQyMWJkODhmXkEyXkFqcGdeQXVyMjQ0ODQ0MzQ@._V1_UX140_CR0,0,140,209_AL_.jpg"
"Hilarious",82,12,"https://m.media-amazon.com/images/M/MV5BNTQyODYyNzcxN15BMl5BanBnXkFtZTgwOTA3MzcwMzE@._V1_UY209_CR8,0,140,209_AL_.jpg"
"2017",74,12,"https://m.media-amazon.com/images/M/MV5BOGYwMmVlMWUtZDE2My00MzMyLTk5MTQtZDdmM2U5YWQwZjM1XkEyXkFqcGdeQXVyMjExNDAyOTU@._V1_UY209_CR4,0,140,209_AL_.jpg"
